H3_int_index,count,geometry,H3_str,H3_center,H3_center_lat,H3_center_long,cluster,H3_parent,H3_parent_center,H3_parent_center_lat,H3_parent_center_long,
638331674478446847,32,"POLYGON ((32.02993774190136 -28.79167051769968, 32.02993950894144 -28.7916328964715, 32.0299018770172 -28.79161325492363, 32.02986247804431 -28.79163123460416, 32.0298607109903 -28.79166885583429, 32.02989834292313 -28.79168849738193, 32.02993774190136 -28.79167051769968))",8dbcf46a22b08ff,"(-28.791650876159604, 32.02990010997048)",-28.79165088,32.02990011,0,8abcf46a22b7fff,"(-28.79153801241071, 32.029905411108736)",-28.79153801,32.02990541,
638331674476621951,42,"POLYGON ((32.03514688853057 -28.79404232087349, 32.03514865464697 -28.79400470059973, 32.03511102213392 -28.79398506110403, 32.03507162349585 -28.79400304188234, 32.03506985736551 -28.79404066215806, 32.03510748988717 -28.79406030165352, 32.03514688853057 -28.79404232087349))",8dbcf46a20f307f,"(-28.7940226813856, 32.03510925601086)",-28.79402268,32.03510926,0,8abcf46a20f7fff,"(-28.79442515720381, 32.035437352464946)",-28.79442516,32.03543735,
638331674542945471,212,"POLYGON ((32.0494854222399 -28.81632122721788, 32.0494871859453 -28.81628361530809, 32.04944954900501 -28.81626398495287, 32.04941014835071 -28.81628196650768, 32.04940838463137 -28.81631957841944, 32.04944602158027 -28.81633920877442, 32.0494854222399 -28.81632122721788))",8dbcf46a60334bf,"(-28.816301596870474, 32.04944778529296)",-28.8163016,32.04944779,1,8abcf46a6037fff,"(-28.81686742274209, 32.04949836734247)",-28.81686742,32.04949837,
638331674797281407,19,"POLYGON ((32.05064404009471 -28.79160725793116, 32.05064580338369 -28.79156963704587, 32.05060817081471 -28.79155000155593, 32.05056877494813 -28.7915679869515, 32.0505670116452 -28.79160560783876, 32.05060464422281 -28.79162524332846, 32.05064404009471 -28.79160725793116))",8dbcf46b52c107f,"(-28.791587622449022, 32.050606407519076)",-28.79158762,32.05060641,0,8abcf46b52c7fff,"(-28.791600821789885, 32.05122263478724)",-28.79160082,32.05122263,
638331674542827903,2,"POLYGON ((32.04985060958936 -28.81593372062509, 32.04985237322536 -28.81589610858062, 32.0498147363427 -28.8158764782467, 32.04977533581543 -28.81589445995746, 32.04977357216548 -28.81593207200388, 32.04981120905676 -28.81595170233757, 32.04985060958936 -28.81593372062509))",8dbcf46a601697f,"(-28.815914090298964, 32.049812972700046)",-28.81591409,32.04981297,1,8abcf46a6017fff,"(-28.815676876264828, 32.0492842930055)",-28.81567688,32.04928429,
638331674480105791,75,"POLYGON ((32.03971530318023 -28.79199408025696, 32.03971706845202 -28.79195645931867, 32.03967943615915 -28.79193682070929, 32.03964003858589 -28.79195480303847, 32.03963827330017 -28.79199242397874, 32.03967590560164 -28.79201206258788, 32.03971530318023 -28.79199408025696))",8dbcf46a244593f,"(-28.791974441655405, 32.03967767088072)",-28.79197444,32.03967767,0,8abcf46a2447fff,"(-28.79135783494015, 32.03989937197521)",-28.79135783,32.03989937,
638331674481563199,2,"POLYGON ((32.0458006369331 -28.7921247873667, 32.04580240110374 -28.79208716658365, 32.04576476859508 -28.79206752978776, 32.0457253719072 -28.79208551377519, 32.04572360772264 -28.79212313456022, 32.04576124023989 -28.79214277135586, 32.0458006369331 -28.7921247873667))",8dbcf46a25a963f,"(-28.79210515057864, 32.0457630044178)",-28.79210515,32.045763,0,8abcf46a25affff,"(-28.7922868387222, 32.04633278487021)",-28.79228684,32.04633278,
638331674796862719,89,"POLYGON ((32.04947157645066 -28.79276837908786, 32.04947333996171 -28.79273075860409, 32.04943570722259 -28.79271112302732, 32.04939631096378 -28.79272910793457, 32.04939454743878 -28.79276672842031, 32.04943218018652 -28.79278636399683, 32.04947157645066 -28.79276837908786))",8dbcf46b525acff,"(-28.7927487435189, 32.04943394370488)",-28.79274874,32.04943394,0,8abcf46b525ffff,"(-28.793134678628245, 32.048991766270106)",-28.79313468,32.04899177,
638331674736755455,1358,"POLYGON ((32.05172177004386 -28.78835398957656, 32.05172353311044 -28.78831636752721, 32.05168590108763 -28.78829673163314, 32.05164650598962 -28.78831471778867, 32.0516447429091 -28.78835233984, 32.05168237494052 -28.78837197573382, 32.05172177004386 -28.78835398957656))",8dbcf46b19082ff,"(-28.7883343536903, 32.051684138014394)",-28.78833435,32.05168414,0,8abcf46b190ffff,"(-28.788452168777102, 32.05190993026141)",-28.78845217,32.05190993,
638331674476455167,18,"POLYGON ((32.03322763601658 -28.79304068738074, 32.03322940247224 -28.7930030667088, 32.03319177019883 -28.79298342642869, 32.03315237146119 -28.79300140682075, 32.03315060499159 -28.79303902749464, 32.03318823727359 -28.79305866777452, 32.03322763601658 -28.79304068738074))",8dbcf46a20ca4ff,"(-28.79302104710843, 32.03319000373653)",-28.79302105,32.03319,0,8abcf46a20cffff,"(-28.79357705582802, 32.0327783504848)",-28.79357706,32.03277835,
638331674781123391,58,"POLYGON ((32.07705375057968 -28.79651977591111, 32.07705550912553 -28.79648215728672, 32.07701787485728 -28.79646253063312, 32.07697848203456 -28.79648052260416, 32.07697672347478 -28.79651814123054, 32.07701435775166 -28.79653776788389, 32.07705375057968 -28.79651977591111))",8dbcf46b435833f,"(-28.79650014926533, 32.07701611630479)",-28.79650015,32.07701612,2,8abcf46b435ffff,"(-28.796503418540574, 32.077170170483456)",-28.79650342,32.07717017,
638331674796832895,210,"POLYGON ((32.05006135717034 -28.79334588822782, 32.0500631205794 -28.79330826796462, 32.05002548771872 -28.79328863268871, 32.04998609144039 -28.79330661767622, 32.04998432801739 -28.79334423794139, 32.05002196088668 -28.79336387321706, 32.05006135717034 -28.79334588822782))",8dbcf46b525387f,"(-28.793326252959716, 32.050023724303024)",-28.79332625,32.05002372,0,8abcf46b5257fff,"(-28.79355857504982, 32.05032126064593)",-28.79355858,32.05032126,
638331674483124927,165,"POLYGON ((32.03679754118624 -28.79255268447226, 32.03679930699119 -28.79251506368566, 32.0367616746913 -28.79249542434433, 32.03672227657784 -28.79251340578983, 32.03672051075895 -28.79255102657838, 32.03675814306745 -28.79257066591948, 32.03679754118624 -28.79255268447226))",8dbcf46a2726abf,"(-28.79253304513873, 32.036759908879695)",-28.79253305,32.03675991,0,8abcf46a2727fff,"(-28.79246749483943, 32.03633889027222)",-28.79246749,32.03633889,
638331674737140607,1197,"POLYGON ((32.05002484660346 -28.79001231583572, 32.05002660999128 -28.7899746943593, 32.04998897772617 -28.78995505833466, 32.04994958206461 -28.78997304378668, 32.04994781866287 -28.79001066526508, 32.0499854509366 -28.79003030128948, 32.05002484660346 -28.79001231583572))",8dbcf46b196637f,"(-28.789992679818898, 32.0499872143317)",-28.78999268,32.04998721,0,8abcf46b1967fff,"(-28.789986077180846, 32.04967910252915)",-28.78998608,32.0496791,
638331674480228095,11,"POLYGON ((32.03983349586055 -28.79194013318375, 32.03983526111048 -28.7919025122279, 32.03979762882349 -28.79188287364124, 32.03975823127796 -28.79190085601068, 32.03975646601409 -28.79193847696849, 32.03979409830969 -28.79195811555491, 32.03983349586055 -28.79194013318375))",8dbcf46a24636ff,"(-28.791920494604902, 32.03979586356691)",-28.79192049,32.03979586,0,8abcf46a2467fff,"(-28.792548690916227, 32.04011337196865)",-28.79254869,32.04011337,
638331674543821183,7,"POLYGON ((32.04805406818081 -28.81888838273373, 32.04805583216698 -28.81885077173376, 32.04801819481382 -28.8188311415275, 32.04797879346589 -28.81884912232148, 32.04797702946577 -28.81888673332343, 32.04801466682754 -28.81890636352944, 32.04805406818081 -28.81888838273373))",8dbcf46a610917f,"(-28.818868752535316, 32.048016430821)",-28.81886875,32.04801643,1,8abcf46a610ffff,"(-28.818824705388298, 32.04859686672465)",-28.81882471,32.04859687,
638331674480307519,8,"POLYGON ((32.0420314902037 -28.79193088548958, 32.04203325505544 -28.79189326456923, 32.04199562270048 -28.79187362662509, 32.04195622548519 -28.79189160960153, 32.04195446061953 -28.79192923052385, 32.04199209298309 -28.79194886846775, 32.0420314902037 -28.79193088548958))",8dbcf46a2476d3f,"(-28.79191124755324, 32.04199385784211)",-28.79191125,32.04199386,0,8abcf46a2477fff,"(-28.79178183280443, 32.0412288566378)",-28.79178183,32.04122886,
638331674544131519,26,"POLYGON ((32.04782295201019 -28.81888343437086, 32.0478247160382 -28.81884582336498, 32.04778707869321 -28.81882619308981, 32.04774767731161 -28.81884417382076, 32.04774591326967 -28.81888178482861, 32.04778355062328 -28.81890141510355, 32.04782295201019 -28.81888343437086))",8dbcf46a6154dbf,"(-28.81886380410352, 32.04778531465856)",-28.8188638,32.04778531,1,8abcf46a6157fff,"(-28.81840092299133, 32.04726721286064)",-28.81840092,32.04726721,
638331674543462015,6,"POLYGON ((32.05090615755392 -28.81397967515919, 32.05090792098238 -28.81394206242176, 32.05087028441509 -28.8139224319645, 32.05083088441073 -28.81394041424491, 32.05082912096834 -28.81397802698432, 32.05086675754425 -28.81399765744134, 32.05090615755392 -28.81397967515919))",8dbcf46a60b167f,"(-28.81396004470975, 32.05086852097999)",-28.81396004,32.05086852,1,8abcf46a60b7fff,"(-28.814143309725203, 32.051515396658374)",-28.81414331,32.0515154,
638331674805937407,417,"POLYGON ((32.05668579496252 -28.80501027571889, 32.05668755726902 -28.80497265981843, 32.05664992212015 -28.80495302906947, 32.05661052465616 -28.80497101422121, 32.05660876233573 -28.80500863012363, 32.05664639749322 -28.80502826087235, 32.05668579496252 -28.80501027571889))",8dbcf46b5b024ff,"(-28.80499064497774, 32.056648159807)",-28.80499064,32.05664816,1,8abcf46b5b07fff,"(-28.805546653579768, 32.05623656078254)",-28.80554665,32.05623656,
638331674796963071,2,"POLYGON ((32.05044534221334 -28.79420141608585, 32.05044710555998 -28.79416379614072, 32.05040947253466 -28.79414416116686, 32.0503700761541 -28.79416214613835, 32.05036831279351 -28.79419976608545, 32.05040594582744 -28.79421940105909, 32.05044534221334 -28.79420141608585))",8dbcf46b52734ff,"(-28.794181781119796, 32.050407709181364)",-28.79418178,32.05040771,0,8abcf46b5277fff,"(-28.79474937863114, 32.05053531803271)",-28.79474938,32.05053532,
638331674803212543,17,"POLYGON ((32.05835823767004 -28.80634502865663, 32.05835999968471 -28.80630741327194, 32.05832236424542 -28.8062877833095, 32.05828296678283 -28.80630576873199, 32.05828120475421 -28.80634338411866, 32.05831884020213 -28.80636301408086, 32.05835823767004 -28.80634502865663))",8dbcf46b58690ff,"(-28.806325398702004, 32.05832060222409)",-28.8063254,32.0583206,1,8abcf46b586ffff,"(-28.806394154548723, 32.05889570592415)",-28.80639415,32.05889571,
638331674542844095,674,"POLYGON ((32.04835219327818 -28.81499804606081, 32.04835395717781 -28.81496043364892, 32.04831632050928 -28.81494080266789, 32.04827691993248 -28.81495878409897, 32.0482751560189 -28.81499639651282, 32.04831279269607 -28.81501602749362, 32.04835219327818 -28.81499804606081))",8dbcf46a601a8bf,"(-28.814978415087584, 32.04831455660298)",-28.81497842,32.04831456,1,8abcf46a601ffff,"(-28.8152530844504, 32.047954659093705)",-28.81525308,32.04795466,
638331674547853695,2,"POLYGON ((32.05392160012366 -28.80969545020907, 32.05392336297005 -28.80965783596507, 32.05388572707221 -28.80963820544322, 32.05384632831937 -28.80965618916558, 32.05384456545904 -28.80969380341154, 32.0538822013655 -28.80971343393315, 32.05392160012366 -28.80969545020907))",8dbcf46a64e197f,"(-28.80967581969502, 32.053883964219175)",-28.80967582,32.05388396,1,8abcf46a64e7fff,"(-28.80946166057438, 32.05443378313717)",-28.80946166,32.05443378,
638331674479843391,21,"POLYGON ((32.04345388909034 -28.79201792572922, 32.04345565368514 -28.7919803048657, 32.04341802126969 -28.79196066735794, 32.0433786242508 -28.79197865071395, 32.04337685964206 -28.79201627157944, 32.04341449206613 -28.79203590908694, 32.04345388909034 -28.79201792572922))",8dbcf46a240583f,"(-28.791998288229273, 32.04341625666822)",-28.79199829,32.04341626,0,8abcf46a2407fff,"(-28.791438936068726, 32.04367381328211)",-28.79143894,32.04367381,
638331674479965951,59,"POLYGON ((32.04360794796146 -28.79202123389693, 32.04360971252841 -28.79198361303735, 32.04357208010748 -28.79196397557551, 32.04353268311101 -28.7919819589735, 32.04353091853014 -28.79201957983504, 32.04356855095968 -28.79203921729665, 32.04360794796146 -28.79202123389693))",8dbcf46a24236ff,"(-28.792001596442905, 32.0435703155339)",-28.7920016,32.04357032,0,8abcf46a2427fff,"(-28.792629781475664, 32.04388783333691)",-28.79262978,32.04388783,
638331674544251711,3,"POLYGON ((32.04765299798919 -28.81921863371551, 32.04765476205078 -28.81918102282874, 32.04761712465135 -28.81916139257799, 32.04757772318172 -28.81917937321425, 32.04757595910618 -28.819216984103, 32.04761359651423 -28.8192366143535, 32.04765299798919 -28.81921863371551))",8dbcf46a617233f,"(-28.819199003472587, 32.04761536058311)",-28.819199,32.04761536,1,8abcf46a6177fff,"(-28.819591442601638, 32.04748127928508)",-28.81959144,32.04748128,
638331674480272831,95,"POLYGON ((32.03959711041672 -28.79204802720943, 32.03959887571038 -28.79201040628865, 32.03956124341163 -28.79199076765656, 32.03952184581064 -28.79200874994548, 32.03952008050305 -28.79204637086823, 32.0395577128104 -28.79206600950007, 32.03959711041672 -28.79204802720943))",8dbcf46a246e5bf,"(-28.792028388585145, 32.03955947811133)",-28.79202839,32.03955948,0,8abcf46a246ffff,"(-28.79212468572867, 32.03878388229827)",-28.79212469,32.03878388,
638331674797460543,116,"POLYGON ((32.05058585120285 -28.79284873948606, 32.05058761451274 -28.79281111905135, 32.05054998172422 -28.79279148381919, 32.05051058561718 -28.792809469022, 32.05050882229336 -28.7928470894587, 32.0505464550905 -28.7928667246906, 32.05058585120285 -28.79284873948606))",8dbcf46b52ecc3f,"(-28.792829104261717, 32.05054821840767)",-28.7928291,32.05054822,0,8abcf46b52effff,"(-28.792367756947126, 32.050107205599765)",-28.79236776,32.05010721,
638331674555000959,18,"POLYGON ((32.04574347776055 -28.82211429207197, 32.04574524219228 -28.82207668220642, 32.04570760433651 -28.82205705203716, 32.04566820204037 -28.82207503173368, 32.04566643759468 -28.82211264160118, 32.04570407545909 -28.82213227177021, 32.04574347776055 -28.82211429207197))",8dbcf46a6bb287f,"(-28.82209466191052, 32.04570583989812)",-28.82209466,32.04570584,1,8abcf46a6bb7fff,"(-28.82231536928567, 32.04546413248864)",-28.82231537,32.04546413,
638331674479999103,65,"POLYGON ((32.042298446476 -28.79199310886818, 32.0423002112799 -28.79195548797518, 32.0422625789054 -28.7919358501231, 32.04222318171841 -28.79195383316425, 32.04222141690057 -28.7919914540592, 32.04225904928367 -28.79201109191105, 32.042298446476 -28.79199310886818))",8dbcf46a242b87f,"(-28.79197347102391, 32.04226081409486)",-28.79197347,32.04226081,0,8abcf46a242ffff,"(-28.792205814983085, 32.04255834375884)",-28.79220581,32.04255834,
638331674543348031,21,"POLYGON ((32.05111726458183 -28.81358886103087, 32.05111902796877 -28.81355124815484, 32.05108139146456 -28.8135316176729, 32.05104199156479 -28.81354960006724, 32.0510402281639 -28.81358721294525, 32.05107786467674 -28.81360684342693, 32.05111726458183 -28.81358886103087))",8dbcf46a609593f,"(-28.813569230556745, 32.051079628070966)",-28.81356923,32.05107963,1,8abcf46a6097fff,"(-28.81295273638583, 32.05130131440994)",-28.81295274,32.05130131,
638331674481605183,509,"POLYGON ((32.04840492052386 -28.79167225015543, 32.04840668421897 -28.79163462925398, 32.04836905170888 -28.79161499312172, 32.04832965549507 -28.79163297789113, 32.04832789178602 -28.79167059879455, 32.04836552430471 -28.79169023492659, 32.04840492052386 -28.79167225015543))",8dbcf46a25b3a3f,"(-28.791652614030973, 32.048367288007114)",-28.79165261,32.04836729,0,8abcf46a25b7fff,"(-28.791943852159616, 32.048777718689884)",-28.79194385,32.04877772,
