ID,H3_int_index_8,count
0,88ad36153bfffff,364616
1,88ad361505fffff,161220
2,88ad361503fffff,144574
3,88ad361501fffff,143182
4,88ad36153dfffff,131282
5,88ad361539fffff,96985
6,88ad36010bfffff,73221
7,88ad361517fffff,69792
8,88ad361507fffff,65476
9,88ad361515fffff,44869
10,88ad36152bfffff,23586
11,88ad3602c7fffff,13698
12,88ad3602e3fffff,10362
13,88ad3602b3fffff,9013
14,88ad360089fffff,6684
15,88ad361531fffff,6429
16,88ad3602b5fffff,6194
17,88ad3600ddfffff,6187
18,88ad3600c3fffff,6041
19,88ad3600d9fffff,5753
20,88ad3600c9fffff,5548
21,88ad3600cbfffff,5427
22,88ad360285fffff,4929
23,88ad361599fffff,4373
24,88ad360547fffff,4372
25,88ad3600d5fffff,3781
26,88ad361535fffff,3694
27,88ad3602b7fffff,3290
28,88ad361537fffff,3216
29,88ad3600ebfffff,3207
30,88ad36158bfffff,3182
31,88ad360289fffff,3005
32,88ad360281fffff,2998
33,88ad3600c5fffff,2933
34,88ad361583fffff,2741
35,88ad3602e1fffff,2713
36,88ad3600cdfffff,2681
37,88ad3602a7fffff,2606
38,88ad3600c7fffff,2515
39,88ad3602a3fffff,2388
40,88ad3600d7fffff,2312
41,88ad3602a9fffff,2263
42,88ad36028dfffff,2176
43,88ad3615d1fffff,2136
44,88ad3602ddfffff,1986
45,88ad3602b1fffff,1850
46,88ad3602c9fffff,1833
47,88ad3602cbfffff,1766
48,88ad3602abfffff,1604
49,88ad3602c3fffff,1520
50,88ad3602d5fffff,1495
51,88ad361595fffff,1489
52,88ad36a931fffff,1469
53,88ad3602ebfffff,1455
54,88ad3602c5fffff,1379
55,88ad3602d9fffff,1305
56,88ad3606d5fffff,1236
57,88ad3602c1fffff,1227
58,88ad3606ddfffff,1224
59,88ad3615a5fffff,1198
60,88ad3606d9fffff,1097
61,88ad3606d3fffff,1085
62,88ad360765fffff,1082
63,88ad36a907fffff,1082
64,88ad36a937fffff,1029
65,88ad3602adfffff,1010
66,88ad3602bdfffff,1006
67,88ad36a935fffff,1002
68,88ad36a923fffff,986
69,88ad360699fffff,969
70,88ad3615d3fffff,969
71,88ad36008dfffff,966
72,88ad3615a3fffff,934
73,88ad36a93dfffff,928
74,88ad3606c3fffff,911
75,88ad3606cbfffff,902
76,88ad36028bfffff,880
77,88ad3606d1fffff,878
78,88ad3606d7fffff,867
79,88ad3602d7fffff,848
80,88ad360239fffff,843
81,88ad36a92bfffff,815
82,88ad3615a7fffff,811
83,88ad3606c1fffff,811
84,88ad3606c9fffff,810
85,88ad361585fffff,810
86,88ad360689fffff,783
87,88ad3615e7fffff,782
88,88ad361581fffff,774
89,88ad360283fffff,772
90,88ad36a939fffff,734
91,88ad36068bfffff,729
92,88ad360295fffff,724
93,88ad3615b1fffff,722
94,88ad3606cdfffff,718
95,88ad360691fffff,711
96,88ad3602d3fffff,703
97,88ad360697fffff,701
98,88ad36a927fffff,692
99,88ad3615a9fffff,692
