INDEX_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,geom_WKT
61090,SHAKOTAN,RU,43.866667,146.833333,"POLYGON ((146.55686585242051 43.66665129687645,146.55686585242051 44.06668203645688,147.10980081424617 44.06668203645688,147.10980081424617 43.66665129687645,146.55686585242051 43.66665129687645))"
61110,MOMBETSU KO,JP,44.35,143.35,"POLYGON ((143.0712784569004 44.149999043254105,143.0712784569004 44.5500009567459,143.6287215430996 44.5500009567459,143.6287215430996 44.149999043254105,143.0712784569004 44.149999043254105))"
5750,CHARLOTTETOWN,CA,46.233333,-63.133333,"POLYGON ((-63.42144323978452 46.03340117458331,-63.42144323978452 46.43326549208336,-62.84522342688213 46.43326549208336,-62.84522342688213 46.03340117458331,-63.42144323978452 46.03340117458331))"
61120,ABASHIRI KO,JP,44.016667,144.283333,"POLYGON ((144.00617479949327 43.81665487020647,144.00617479949327 44.21667846312689,144.5604918671734 44.21667846312689,144.5604918671734 43.81665487020647,144.00617479949327 43.81665487020647))"
61130,NEMURO KO,JP,43.333333,145.583333,"POLYGON ((145.30929823761454 43.13329767144655,145.30929823761454 43.53336899522021,145.8573684290522 43.53336899522021,145.8573684290522 43.13329767144655,145.30929823761454 43.13329767144655))"
61140,HANASAKI KO,JP,43.283333,145.583333,"POLYGON ((145.30952233652656 43.08329592867602,145.30952233652656 43.48337073799071,145.8571443301402 43.48337073799071,145.8571443301402 43.08329592867602,145.30952233652656 43.08329592867602))"
61160,KUSHIRO KO,JP,42.983333,144.366667,"POLYGON ((144.09419617829374 42.783284604421105,144.09419617829374 43.18338206224565,144.63913715503955 43.18338206224565,144.63913715503955 42.783284604421105,144.09419617829374 42.783284604421105))"
61165,TOMAKOMAI KO,JP,42.633333,141.633333,"POLYGON ((141.3623899830277 42.433273699742685,141.3623899830277 42.83339296692401,141.90427668363895 42.83339296692401,141.90427668363895 42.433273699742685,141.3623899830277 42.433273699742685))"
61170,MURORAN KO,JP,42.35,140.966667,"POLYGON ((140.6969444217854 42.14993156594265,140.6969444217854 42.55006843405728,141.23638891154795 42.55006843405728,141.23638891154795 42.14993156594265,140.6969444217854 42.14993156594265))"
61180,MORI,JP,42.116667,140.583333,"POLYGON ((140.31460024873454 41.91658868175918,140.31460024873454 42.3167446515743,140.8520664179322 42.3167446515743,140.8520664179322 41.91658868175918,140.31460024873454 41.91658868175918))"
49500,GOPALPUR,IN,19.25,84.916667,"POLYGON ((84.70527949914428 19.04923452763988,84.70527949914428 19.45076547236008,85.12805383418906 19.45076547236008,85.12805383418906 19.04923452763988,84.70527949914428 19.04923452763988))"
47990,EL GHARDAQA,EG,27.216667,33.85,"POLYGON ((33.625660527725316 27.01610462781718,33.625660527725316 27.417228705516106,34.07433947227467 27.417228705516106,34.07433947227467 27.01610462781718,33.625660527725316 27.01610462781718))"
48015,RAS SHUKHIER,EG,28.133333,33.283333,"POLYGON ((33.0571143720398 27.932798015156557,33.0571143720398 28.33386865151011,33.509552294626864 28.33386865151011,33.509552294626864 27.932798015156557,33.0571143720398 27.932798015156557))"
48020,RAS GHARIB,EG,28.35,33.1,"POLYGON ((32.8733240407997 28.149470789160077,32.8733240407997 28.550529210839755,33.326675959200344 28.550529210839755,33.326675959200344 28.149470789160077,32.8733240407997 28.149470789160077))"
48040,AS SUWAYS,EG,29.966667,32.55,"POLYGON ((32.31974336362488 29.766186821188118,32.31974336362488 30.167146512145383,32.7802566363752 30.167146512145383,32.7802566363752 29.766186821188118,32.31974336362488 29.766186821188118))"
48045,EL-ADABIYA,EG,29.866667,32.466667,"POLYGON ((32.23664285932681 29.66618344897941,32.23664285932681 30.067149884354095,32.69669047400646 30.067149884354095,32.69669047400646 29.66618344897941,32.23664285932681 29.66618344897941))"
48050,EL ISMAILIYA,EG,30.583333,32.283333,"POLYGON ((32.05163648554072 30.38287164875149,32.05163648554072 30.78379501791421,32.51503018112616 30.78379501791421,32.51503018112616 30.38287164875149,32.05163648554072 30.38287164875149))"
48060,RAS ABU ZANIMAH,EG,29.033333,33.116667,"POLYGON ((32.888512639506104 28.832824422515923,32.888512639506104 29.23384224415074,33.34482069382723 29.23384224415074,33.34482069382723 28.832824422515923,32.888512639506104 28.832824422515923))"
48065,WADI FEIRAN,EG,28.75,33.2,"POLYGON ((32.972465541262636 28.549482717124636,32.972465541262636 28.950517282875257,33.4275344587374 28.950517282875257,33.4275344587374 28.549482717124636,32.972465541262636 28.549482717124636))"
48076,ELAT,IL,29.55,34.95,"POLYGON ((34.72069667186401 29.349506656990116,34.72069667186401 29.7504933430087,35.17930332813594 29.7504933430087,35.17930332813594 29.349506656990116,34.72069667186401 29.349506656990116))"
48090,AL AQABAH,JO,29.516667,35,"POLYGON ((34.77077234645931 29.31617228595247,34.77077234645931 29.717161047379207,35.22922765354069 29.717161047379207,35.22922765354069 29.31617228595247,34.77077234645931 29.31617228595247))"
48120,YANBU,SA,24.083333,38.05,"POLYGON ((37.83144544155119 23.88268487161984,37.83144544155119 24.28398179504683,38.268554558448805 24.28398179504683,38.268554558448805 23.88268487161984,37.83144544155119 23.88268487161984))"
48140,JIDDAH,SA,21.483333,39.183333,"POLYGON ((38.968885096476704 21.282619543763698,38.968885096476704 21.684047122902665,39.3977815701903 21.684047122902665,39.3977815701903 21.282619543763698,38.968885096476704 21.282619543763698))"
48142,JIZAN,SA,16.9,42.483333,"POLYGON ((42.27474037463934 16.699187498424557,42.27474037463934 17.10081250157546,42.6919262920273 17.10081250157546,42.6919262920273 16.699187498424557,42.27474037463934 16.699187498424557))"
46780,SIMONSTOWN,ZA,-34.183333,18.433333,"POLYGON ((18.19225884451035 -34.38368732616249,18.19225884451035 -33.98297934050423,18.674407822156276 -33.98297934050423,18.674407822156276 -34.38368732616249,18.19225884451035 -34.38368732616249))"
46800,MOSSEL BAY,ZA,-34.183333,22.15,"POLYGON ((21.908923312087655 -34.38368708390315,21.908923312087655 -33.982979582763484,22.39107668791235 -33.982979582763484,22.39107668791235 -34.38368708390315,21.908923312087655 -34.38368708390315))"
46820,PORT ELIZABETH,ZA,-33.966667,25.616667,"POLYGON ((25.376201108048747 -34.167027110371144,25.376201108048747 -33.76630622296229,25.85713222528463 -33.76630622296229,25.85713222528463 -34.167027110371144,25.376201108048747 -34.167027110371144))"
33770,BELFAST,GB,54.616667,-5.9,"POLYGON ((-6.244002159637931 54.417021572325254,-6.244002159637931 54.81631176100828,-5.555997840362085 54.81631176100828,-5.555997840362085 54.417021572325254,-6.244002159637931 54.417021572325254))"
33790,LARNE,GB,54.85,-5.8,"POLYGON ((-6.145983330158426 54.65036058570358,-6.145983330158426 55.04963941429642,-5.454016669841577 55.04963941429642,-5.454016669841577 54.65036058570358,-6.145983330158426 54.65036058570358))"
33820,COLERAINE,GB,55.133333,-6.666667,"POLYGON ((-7.015090471699652 54.93369879488731,-7.015090471699652 55.33296787177941,-6.318242861633698 55.33296787177941,-6.318242861633698 54.93369879488731,-7.015090471699652 54.93369879488731))"
33830,LONDONDERRY,GB,55,-7.316667,"POLYGON ((-7.663949995614716 54.80036479974443,-7.663949995614716 55.1996352002556,-6.969383337718612 55.1996352002556,-6.969383337718612 54.80036479974443,-7.663949995614716 54.80036479974443))"
33060,ORNSAY,GB,57.15,-5.8,"POLYGON ((-6.167161316091838 56.95043463952249,-6.167161316091838 57.34956536047752,-5.432838683908165 57.34956536047752,-5.432838683908165 56.95043463952249,-6.167161316091838 56.95043463952249))"
32290,BUCKIE HARBOR,GB,57.683333,-2.966667,"POLYGON ((-3.339208612026618 57.48378831965001,-3.339208612026618 57.88287834701682,-2.5941247213067182 57.88287834701682,-2.5941247213067182 57.48378831965001,-3.339208612026618 57.48378831965001))"
32300,LOSSIEMOUTH,GB,57.716667,-3.283333,"POLYGON ((-3.656224251431014 57.517119183566564,-3.656224251431014 57.91621414976696,-2.910442415235613 57.91621414976696,-2.910442415235613 57.517119183566564,-3.656224251431014 57.517119183566564))"
32320,BURGHEAD,GB,57.7,-3.5,"POLYGON ((-3.872690344506212 57.50043597648907,-3.872690344506212 57.89956402351143,-3.1273096554939896 57.89956402351143,-3.1273096554939896 57.50043597648907,-3.872690344506212 57.50043597648907))"
32330,INVERNESS,GB,57.483333,-4.233333,"POLYGON ((-4.603840219958819 57.28377998957164,-4.603840219958819 57.68288667709528,-3.8628264467076985 57.68288667709528,-3.8628264467076985 57.28377998957164,-4.603840219958819 57.28377998957164))"
32340,CROMARTY,GB,57.683333,-4.033333,"POLYGON ((-4.405877215458028 57.48378870588093,-4.405877215458028 57.8828779607859,-3.6607894512086356 57.8828779607859,-3.6607894512086356 57.48378870588093,-4.405877215458028 57.48378870588093))"
32350,INVERGORDON,GB,57.683333,-4.166667,"POLYGON ((-4.539213427315676 57.48378767733988,-4.539213427315676 57.88287898932699,-3.794119906017636 57.88287898932699,-3.794119906017636 57.48378767733988,-4.539213427315676 57.48378767733988))"
32360,PORTMAHOMACK HARBOR,GB,57.833333,-3.833333,"POLYGON ((-4.2074182123138595 57.63379045603135,-4.2074182123138595 58.03287621063538,-3.459248454352811 58.03287621063538,-3.459248454352811 57.63379045603135,-4.2074182123138595 57.63379045603135))"
32370,HELMSDALE HARBOR,GB,58.116667,-3.65,"POLYGON ((-4.027039575787165 57.91712492753231,-4.027039575787165 58.31620840580108,-3.2729604242128514 58.31620840580108,-3.2729604242128514 57.91712492753231,-4.027039575787165 57.91712492753231))"
32380,WICK,GB,58.433333,-3.083333,"POLYGON ((-3.4637666039735846 58.23381217866314,-3.4637666039735846 58.632854488003716,-2.7029000626930504 58.632854488003716,-2.7029000626930504 58.23381217866314,-3.4637666039735846 58.23381217866314))"
32410,PIEROWALL,GB,59.3,-2.983333,"POLYGON ((-3.373395566397568 59.100505562340565,-3.373395566397568 59.49949443765954,-2.5932711002691007 59.49949443765954,-2.5932711002691007 59.100505562340565,-3.373395566397568 59.100505562340565))"
32420,KETTLETOFT,GB,59.233333,-2.6,"POLYGON ((-2.9892825922035264 59.033821976259816,-2.9892825922035264 59.43284469040697,-2.210717407796535 59.43284469040697,-2.210717407796535 59.033821976259816,-2.9892825922035264 59.033821976259816))"
